Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
AF,2023-03-10,209484,2,7896.0,0.0,191284.0,4,10304.0,45,1204573.0,40754388,AS,195,"AS,AF","(33.7680065, 66.2385139)"
AL,2023-03-10,334474,17,3598.0,0.0,329206.0,11,1670.0,0,1941032.0,2866374,EU,9,"EU,AL","(33.2588817, -86.8295337)"
DZ,2023-03-10,271499,3,6881.0,0.0,182819.0,6,81799.0,0,230861.0,45350148,AF,167,"AF,DZ","(28.0000272, 2.9999825)"
AO,2023-03-10,105288,0,1933.0,0.0,103342.0,0,13.0,0,1499795.0,35027343,AF,333,"AF,AO","(47.59397, 14.12456)"
AR,2023-03-10,10044957,0,130472.0,0.0,9911664.0,0,2821.0,363,35716069.0,46010234,SA,5,"SA,AR","(-34.9964963, -64.9672817)"
AM,2023-03-10,447308,0,8727.0,0.0,435162.0,0,3419.0,0,3242901.0,2971966,AS,7,"AS,AM","(40.7696272, 44.6736646)"
AU,2023-03-10,11385534,0,19459.0,0.0,11332576.0,0,33499.0,27,78835048.0,26068792,Australia/Oceania,2,"Australia/Oceania,AU","(-24.7761086, 134.755)"
AT,2023-03-10,5966051,4702,21977.0,0.0,5887729.0,2829,56345.0,72,211273524.0,9066710,EU,2,"EU,AT","(47.59397, 14.12456)"
AZ,2023-03-10,828870,45,10142.0,4.0,818516.0,19,212.0,0,7538679.0,10300205,AS,12,"AS,AZ","(40.3936294, 47.7872508)"
BH,2023-03-10,711016,323,1553.0,0.0,706755.0,423,2708.0,2,10752280.0,1783983,AS,3,"AS,BH","(44.3053476, 17.5961467)"
BD,2023-03-10,2037871,0,29445.0,0.0,1998448.0,0,9978.0,0,15254399.0,167885689,AS,82,"AS,BD","(24.4769288, 90.2934413)"
BY,2023-03-10,994037,0,7118.0,0.0,985592.0,0,1327.0,0,13646641.0,9432800,EU,9,"EU,BY","(53.4250605, 27.6971358)"
BE,2023-03-10,4739365,0,33814.0,0.0,4666382.0,1585,39169.0,43,36797565.0,11668278,EU,2,"EU,BE","(50.6402809, 4.6667145)"
BJ,2023-03-10,27999,0,163.0,0.0,27830.0,0,6.0,0,604310.0,12784726,AF,457,"AF,BJ","(9.5293472, 2.2584408)"
BO,2023-03-10,1194387,110,22366.0,1.0,1160755.0,280,11266.0,220,2705422.0,11992656,SA,10,"SA,BO","(-17.0568696, -64.9912286)"
BA,2023-03-10,401729,0,16280.0,0.0,379084.0,0,6365.0,0,1884721.0,3249317,EU,8,"EU,BA","(44.3053476, 17.5961467)"
BW,2023-03-10,329758,0,2801.0,0.0,326916.0,0,41.0,1,2026898.0,2441162,AF,7,"AF,BW","(48.53775, 9.041169)"
BR,2023-03-10,37085520,0,699310.0,0.0,36249161.0,0,137049.0,0,63776166.0,215353593,SA,6,"SA,BR","(-10.3333333, -53.2)"
BG,2023-03-10,1297630,107,38229.0,1.0,1256704.0,423,2697.0,26,11077073.0,6844597,EU,5,"EU,BG","(42.6073975, 25.4856617)"
BF,2023-03-10,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,AF,"1,002","AF,BF","(12.0753083, -1.6880314)"
BI,2023-03-10,53631,0,38.0,0.0,53569.0,0,24.0,0,345742.0,12624840,AF,235,"AF,BI","(50.6402809, 4.6667145)"
Unknown,2023-03-10,15368,0,113.0,0.0,15200.0,0,55.0,2,81294.0,5016678,AF,326,"AF,Unknown","(25.029422, -77.36195598496681)"
KH,2023-03-10,138719,0,3056.0,0.0,135660.0,0,3.0,0,3091420.0,17168639,AS,124,"AS,KH","(12.5433216, 104.8144914)"
CM,2023-03-10,124392,0,1965.0,0.0,122344.0,0,83.0,13,1751774.0,27911548,AF,224,"AF,CM","(4.6125522, 13.1535811)"
CA,2023-03-10,4600615,0,51447.0,0.0,4513840.0,1442,35328.0,99,66343123.0,38388419,NA,8,"NA,CA","(61.0666922, -107.991707)"
TD,2023-03-10,7679,0,194.0,0.0,4874.0,0,2611.0,0,191341.0,17413580,AF,"2,268","AF,TD","(15.6134137, 19.0156172)"
CL,2023-03-10,5195994,3708,64285.0,12.0,5119229.0,0,12480.0,86,48592050.0,19250195,SA,4,"SA,CL","(-31.7613365, -71.3187697)"
CN,2023-03-10,503302,0,5272.0,0.0,379053.0,0,118977.0,7557,160000000.0,1448471400,AS,"2,878","AS,CN","(35.000074, 104.999927)"
CO,2023-03-10,6360780,0,142639.0,0.0,6184346.0,0,33795.0,342,36951507.0,51512762,SA,8,"SA,CO","(4.099917, -72.9088133)"
CG,2023-03-10,25375,0,386.0,0.0,24006.0,0,983.0,0,347815.0,5797805,AF,228,"AF,CG","(-0.7264327, 15.6419155)"
CR,2023-03-10,1209725,0,9245.0,0.0,860711.0,0,339769.0,52,4659757.0,5182354,NA,4,"NA,CR","(45.22086405, 10.037037979628856)"
HR,2023-03-10,1269326,0,17987.0,0.0,1250890.0,0,449.0,5,5521987.0,4059286,EU,3,"EU,HR","(45.3658443, 15.6575209)"
CU,2023-03-10,1112647,4,8530.0,0.0,1104038.0,5,79.0,0,14321589.0,11305652,NA,10,"NA,CU","(23.0131338, -80.8328748)"
CY,2023-03-10,650685,0,1330.0,0.0,644185.0,0,5170.0,60,9640118.0,1223387,AS,2,"AS,CY","(34.9823018, 33.1451285)"
CZ,2023-03-10,4619204,943,42497.0,1.0,4566894.0,1635,9813.0,47,57041777.0,10736784,EU,2,"EU,CZ","(49.7439047, 15.3381061)"
Unknown,2023-03-10,4772813,0,74.0,0.0,4772739.0,0,0.0,0,2887853.0,25990679,AS,5,"AS,Unknown","(25.029422, -77.36195598496681)"
Unknown,2023-03-10,95749,0,1464.0,0.0,84321.0,0,9964.0,0,846704.0,95240792,AF,995,"AF,Unknown","(25.029422, -77.36195598496681)"
DK,2023-03-10,3175889,67,8300.0,4.0,3166673.0,58,916.0,19,129209265.0,5834950,EU,2,"EU,DK","(55.670249, 10.3333283)"
DJ,2023-03-10,15690,0,189.0,0.0,15427.0,0,74.0,0,305941.0,1016097,AF,65,"AF,DJ","(11.8145966, 42.8453061)"
DO,2023-03-10,660790,0,4384.0,0.0,644785.0,0,11621.0,4,3740928.0,11056370,NA,17,"NA,DO","(19.0974031, -70.3028026)"
EC,2023-03-10,1057121,0,36014.0,0.0,1020564.0,0,543.0,759,3082403.0,18113361,SA,17,"SA,EC","(-1.3397668, -79.3666965)"
EG,2023-03-10,515759,0,24613.0,0.0,442182.0,0,48964.0,122,3693367.0,106156692,AF,206,"AF,EG","(26.2540493, 29.2675469)"
SV,2023-03-10,201785,0,4230.0,0.0,179410.0,0,18145.0,8,2610114.0,6550389,NA,32,"NA,SV","(13.8000382, -88.9140683)"
GQ,2023-03-10,17229,0,183.0,0.0,16907.0,0,139.0,5,365697.0,1496662,AF,87,"AF,GQ","(1.613172, 10.5170357)"
ER,2023-03-10,10189,0,103.0,0.0,10086.0,0,0.0,0,23693.0,3662244,AF,359,"AF,ER","(52.865196, -7.9794599)"
EE,2023-03-10,615423,0,2946.0,0.0,524990.0,0,87487.0,5,3679061.0,1321910,EU,2,"EU,EE","(58.7523778, 25.3319078)"
SZ,2023-03-10,74267,0,1425.0,0.0,72795.0,0,47.0,0,1048704.0,1184817,AF,16,"AF,SZ","(-26.5624806, 31.3991317)"
ET,2023-03-10,500137,21,7572.0,0.0,487367.0,16,5198.0,1,5499412.0,120812698,AF,242,"AF,ET","(10.2116702, 38.6521203)"
FI,2023-03-10,1463644,0,8967.0,0.0,1452510.0,0,2167.0,21,12057338.0,5554960,EU,4,"EU,FI","(63.2467777, 25.9209164)"
FR,2023-03-10,39645300,6188,165163.0,90.0,39421220.0,7825,58917.0,869,271490188.0,65584518,EU,2,"EU,FR","(46.603354, 1.8883335)"
GA,2023-03-10,48981,0,306.0,0.0,48674.0,0,1.0,0,1621909.0,2331533,AF,48,"AF,GA","(-0.8999695, 11.6899699)"
GM,2023-03-10,12598,0,372.0,0.0,12189.0,0,37.0,0,155686.0,2558482,AF,203,"AF,GM","(13.470062, -15.4900464)"
GE,2023-03-10,1827537,0,16971.0,0.0,1776548.0,0,34018.0,0,16920079.0,3968738,AS,2,"AS,GE","(41.6809707, 44.0287382)"
DE,2023-03-10,38256003,6943,169057.0,122.0,37839100.0,15900,247846.0,0,122332384.0,83883596,EU,2,"EU,DE","(51.1638175, 10.4478313)"
GH,2023-03-10,171229,0,1462.0,0.0,169726.0,0,41.0,2,2531089.0,32395450,AF,189,"AF,GH","(8.0300284, -1.0800271)"
GR,2023-03-10,5896788,0,36283.0,0.0,5830036.0,5237,30469.0,115,102228365.0,10316637,EU,2,"EU,GR",
GT,2023-03-10,1238589,540,20182.0,0.0,1217369.0,522,1038.0,5,6983862.0,18584039,NA,15,"NA,GT","(15.5855545, -90.345759)"
