"Country,Other",Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Afghanistan,2023-03-02,"209,359",+19,"7,896",,"191,166",+10,"10,297",45,"5,137",194,"1,201,475","29,481","40,754,388",Asia,195,"5,161",34.0,0.5,,253
Afghanistan,2023-03-03,"209,362",+3,"7,896",,"191,170",+4,"10,296",45,"5,137",194,"1,201,744","29,487","40,754,388",Asia,195,"5,161",34.0,0.07,,253
Afghanistan,2023-03-04,"209,370",+4,"7,896",,"191,181",+7,"10,293",45,"5,137",194,"1,202,018","29,494","40,754,388",Asia,195,"5,161",34.0,0.1,,253
Afghanistan,2023-03-05,"209,390",+20,"7,896",,"191,212",+31,"10,282",45,"5,138",194,"1,202,290","29,501","40,754,388",Asia,195,"5,161",34.0,0.5,,252
Afghanistan,2023-03-06,"209,390",,"7,896",,"191,212",,"10,282",45,"5,138",194,"1,202,290","29,501","40,754,388",Asia,195,"5,161",34.0,,,252
Africa,2023-03-02,"12,795,801",+732,"258,590",,"12,076,247",+132,"460,964",548,,,,,,Africa,,,,,,
Africa,2023-03-03,"12,796,326",+525,"258,590",,"12,076,332",+85,"461,404",548,,,,,,Africa,,,,,,
Africa,2023-03-04,"12,796,404",+78,"258,590",,"12,076,449",+117,"461,365",548,,,,,,Africa,,,,,,
Africa,2023-03-05,"12,796,571",+167,"258,593",3.0,"12,076,616",+167,"461,362",548,,,,,,Africa,,,,,,
Africa,2023-03-06,"12,796,571",,"258,593",,"12,076,624",+8,"461,354",548,,,,,,Africa,,,,,,
Albania,2023-03-02,"334,408",,"3,596",,"329,152",,"1,660",,"116,666","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,,,579
Albania,2023-03-03,"334,427",+19,"3,597",1.0,"329,169",+17,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,7,0.3,579
Albania,2023-03-04,"334,427",,"3,597",,"329,169",,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,,,579
Albania,2023-03-05,"334,427",,"3,597",,"329,169",,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,,,579
Albania,2023-03-06,"334,427",,"3,597",,"329,169",,"1,661",,"116,672","1,255","1,941,032","677,173","2,866,374",Europe,9,797,1.0,,,579
Algeria,2023-03-02,"271,463",+15,"6,881",,"182,797",+3,"81,785",,"5,986",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196.0,0.3,,"1,803"
Algeria,2023-03-03,"271,469",+6,"6,881",,"182,799",+2,"81,789",,"5,986",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196.0,0.1,,"1,804"
Algeria,2023-03-04,"271,469",,"6,881",,"182,799",,"81,789",,"5,986",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196.0,,,"1,804"
Algeria,2023-03-05,"271,477",+8,"6,881",,"182,803",+4,"81,793",,"5,986",152,"230,861","5,091","45,350,148",Africa,167,"6,591",196.0,0.2,,"1,804"
