Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
Afghanistan,2023-03-02,209359,19,7896.0,0.0,191152.0,10,10311.0,45,1201475.0,40754388,Asia,195,"5,161",34.0,253.0
Afghanistan,2023-03-03,209362,3,7896.0,0.0,191155.0,4,10311.0,45,1201744.0,40754388,Asia,195,"5,161",34.0,253.0
Afghanistan,2023-03-04,209370,4,7896.0,0.0,191163.0,7,10311.0,45,1202018.0,40754388,Asia,195,"5,161",34.0,253.0
Afghanistan,2023-03-05,209390,20,7896.0,0.0,191224.0,31,10270.0,45,1202290.0,40754388,Asia,195,"5,161",34.0,252.0
Afghanistan,2023-03-06,209390,0,7896.0,0.0,191224.0,0,10270.0,45,1202290.0,40754388,Asia,195,"5,161",34.0,252.0
Albania,2023-03-02,334408,0,3596.0,0.0,329152.0,0,1660.0,0,1941032.0,2866374,Europe,9,797,1.0,579.0
Albania,2023-03-03,334427,19,3597.0,1.0,329170.0,17,1660.0,0,1941032.0,2866374,Europe,9,797,1.0,579.0
Albania,2023-03-04,334427,0,3597.0,0.0,329170.0,0,1660.0,0,1941032.0,2866374,Europe,9,797,1.0,579.0
Albania,2023-03-05,334427,0,3597.0,0.0,329170.0,0,1660.0,0,1941032.0,2866374,Europe,9,797,1.0,579.0
Albania,2023-03-06,334427,0,3597.0,0.0,329170.0,0,1660.0,0,1941032.0,2866374,Europe,9,797,1.0,579.0
Algeria,2023-03-02,271463,15,6881.0,0.0,182816.0,3,81766.0,0,230861.0,45350148,Africa,167,"6,591",196.0,1803.0
Algeria,2023-03-03,271469,6,6881.0,0.0,182776.0,2,81812.0,0,230861.0,45350148,Africa,167,"6,591",196.0,1804.0
Algeria,2023-03-04,271469,0,6881.0,0.0,182776.0,0,81812.0,0,230861.0,45350148,Africa,167,"6,591",196.0,1804.0
Algeria,2023-03-05,271477,8,6881.0,0.0,182784.0,4,81812.0,0,230861.0,45350148,Africa,167,"6,591",196.0,1804.0
Algeria,2023-03-06,271477,0,6881.0,0.0,182784.0,0,81812.0,0,230861.0,45350148,Africa,167,"6,591",196.0,1804.0
Angola,2023-03-02,105277,0,1933.0,0.0,103316.0,0,28.0,0,1499795.0,35027343,Africa,333,"18,121",23.0,0.8
Angola,2023-03-03,105277,0,1933.0,0.0,103316.0,0,28.0,0,1499795.0,35027343,Africa,333,"18,121",23.0,0.8
Angola,2023-03-04,105277,0,1933.0,0.0,103316.0,0,28.0,0,1499795.0,35027343,Africa,333,"18,121",23.0,0.8
Angola,2023-03-05,105277,0,1933.0,0.0,103316.0,0,28.0,0,1499795.0,35027343,Africa,333,"18,121",23.0,0.8
Angola,2023-03-06,105277,0,1933.0,0.0,103316.0,0,28.0,0,1499795.0,35027343,Africa,333,"18,121",23.0,0.8
Argentina,2023-03-02,10044125,0,130463.0,0.0,9909843.0,0,3819.0,363,35716069.0,46010234,South America,5,353,1.0,83.0
Argentina,2023-03-03,10044125,0,130463.0,0.0,9909843.0,0,3819.0,363,35716069.0,46010234,South America,5,353,1.0,83.0
